"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"1",4,"AIRPORT JFK              ","31  COMMERCIAL VACANT LAND                  ","4",14260,70,NA,"V1","181-25 EASTERN ROAD                      ","            ",11430,0,0,0,223027,0,0,4,"V1","$ 7,800,000","2016-01-14",7800000,0,223027
"2",4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,13,NA,"A5","21-16 81ST   STREET                      ","            ",11370,1,0,1,1800,1224,1950,1,"A5","$ 620,000","2015-10-06",620000,1224,1800
"7",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15828,53,NA,"A1","303 BEACH 38TH STREET                    ","            ",11691,1,0,1,3810,1200,2002,1,"A1","$ 273,710","2016-02-29",273710,1200,3810
"9",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,17,NA,"A6","334 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,745,1925,1,"A6","$ 289,000","2016-01-19",289000,745,3804
"10",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,17,NA,"A6","334 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,745,1925,1,"A6","$ 69,000","2015-05-21",69000,745,3804
"11",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15838,11,NA,"A6","334 BEACH 47 STREET                      ","            ",11691,1,0,1,1902,720,1920,1,"A6","$ 57,000","2015-08-14",57000,720,1902
"12",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,16,NA,"A5","64-14 BEACH FRONT ROAD                   ","            ",11692,1,0,1,3542,3084,2014,1,"A5","$ 941,881","2015-09-30",941881,3084,3542
"13",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,30,NA,"A5","62-13 OCEAN AVENUE SOUTH                 ","            ",11692,1,0,1,3959,2515,2014,1,"A5","$ 824,782","2015-08-18",824782,2515,3959
"14",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,47,NA,"A5","123 BEACH 62 STREET                      ","            ",11692,1,0,1,4414,2626,2014,1,"A5","$ 728,048","2015-10-29",728048,2626,4414
"15",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,91,NA,"A5","151 COMPASS PLACE                        ","            ",11692,1,0,1,3665,2515,2014,1,"A5","$ 661,862","2015-06-24",661862,2515,3665
"16",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,185,NA,"A5","63-07 OCEAN AVENUE NORTH                 ","            ",11692,1,0,1,3045,2515,2014,1,"A5","$ 692,410","2015-09-17",692410,2515,3045
"17",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,307,NA,"A5","66-14 BEACH FRONT ROAD                   ","            ",11692,1,0,1,3542,3084,2014,1,"A5","$ 1,120,075","2016-03-02",1120075,3084,3542
"18",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15908,28,NA,"A2","311 BEACH 63RD STREET                    ","            ",11692,1,0,1,4200,975,1940,1,"A2","$ 310,000","2015-10-02",310000,975,4200
"19",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15915,50,NA,"A2","67-11 BEACH CHANNEL DRIVE                ","            ",11692,1,0,1,3333,1217,1955,1,"A2","$ 281,000","2015-05-28",281000,1217,3333
"20",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15916,41,NA,"A1","346 BEACH 69TH STREET                    ","            ",11692,1,0,1,4000,1971,1920,1,"A1","$ 420,000","2016-02-02",420000,1971,4000
"21",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,48,NA,"A6","593 BEACH 43RD STREET                    ","            ",11691,1,0,1,1824,528,1920,1,"A6","$ 229,164","2016-04-13",229164,528,1824
"22",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,50,NA,"A6","589 BEACH 43 STREET                      ","            ",11691,1,0,1,2557,528,1920,1,"A6","$ 30,500","2015-10-12",30500,528,2557
"23",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,61,NA,"A9","565 BEACH 43RD STREET                    ","            ",11691,1,0,1,5796,1300,1920,1,"A9","$ 289,000","2015-06-19",289000,1300,5796
"24",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15963,46,NA,"A6","44-02 NORTON AVENUE                      ","            ",11691,1,0,1,1275,595,1925,1,"A6","$ 183,700","2015-12-01",183700,595,1275
"25",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,27,NA,"A6","448 BEACH 44 STREET                      ","            ",11691,1,0,1,1735,846,1899,1,"A6","$ 70,980","2015-09-25",70980,846,1735
"26",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,110,NA,"A2","417 BEACH 43 STREET                      ","            ",11691,1,0,1,2907,720,1910,1,"A2","$ 140,000","2015-10-16",140000,720,2907
"27",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,110,NA,"A2","417 BEACH 43 STREET                      ","            ",11691,1,0,1,2907,720,1910,1,"A2","$ 80,000","2015-06-08",80000,720,2907
"28",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15966,14,NA,"A6","462 BEACH 45 STREET                      ","            ",11691,1,0,1,1825,525,1905,1,"A6","$ 149,000","2015-10-13",149000,525,1825
"29",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15968,3,NA,"A6","378 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,950,1920,1,"A6","$ 150,000","2015-08-07",150000,950,3804
"30",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,13,NA,"A6","426 BEACH 47 STREET                      ","            ",11691,1,0,1,2252,480,1940,1,"A6","$ 91,260","2015-09-30",91260,480,2252
"31",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,46,NA,"A6","471 BEACH 46TH STREET                    ","            ",11691,1,0,1,2473,540,1940,1,"A6","$ 169,000","2015-08-18",169000,540,2473
"32",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,55,NA,"A2","447 BEACH 46 STREET                      ","            ",11691,1,0,1,2300,900,1940,1,"A2","$ 297,000","2015-12-02",297000,900,2300
"33",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16025,3,NA,"A2","65-39 BAYFIELD AVENUE                    ","            ",11692,1,0,1,3500,1155,1925,1,"A2","$ 304,000","2015-09-10",304000,1155,3500
"34",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16026,22,NA,"A9","642 BEACH 66TH STREET                    ","            ",11692,1,0,1,2250,1530,1960,1,"A9","$ 310,000","2015-07-24",310000,1530,2250
"36",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16031,12,NA,"A9","5-28 BEACH 65 STREET                     ","            ",11692,1,0,1,2500,1925,1960,1,"A9","$ 263,000","2015-09-22",263000,1925,2500
"37",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16032,36,NA,"A5","5-67 BEACH 65 STREET                     ","            ",11692,1,0,1,3950,2008,1955,1,"A5","$ 338,000","2016-02-08",338000,2008,3950
"38",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16033,72,NA,"A1","66-08 THURSBY AVENUE                     ","            ",11692,1,0,1,2500,1137,1930,1,"A1","$ 199,000","2015-09-21",199000,1137,2500
"39",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16034,18,NA,"A9","5-38 BEACH 68 STREET                     ","            ",11692,1,0,1,2800,1386,1950,1,"A9","$ 20,000","2015-07-14",20000,1386,2800
"40",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16034,18,NA,"A9","538 BEACH 68TH STREET                    ","            ",11692,1,0,1,2800,1386,1950,1,"A9","$ 458,000","2015-06-08",458000,1386,2800
"41",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16034,38,NA,"A1","67-01 ALMEDA AVENUE                      ","            ",11692,1,0,1,2000,1120,1930,1,"A1","$ 200,000","2015-10-29",2e+05,1120,2000
"43",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16038,39,NA,"A9","64-03 THURSBY AVENUE                     ","            ",11692,1,0,1,1800,1530,1960,1,"A9","$ 250,000","2015-10-09",250000,1530,1800
"44",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16040,1,NA,"A2","408 BEACH 67 STREET                      ","            ",11692,1,0,1,4000,702,1910,1,"A2","$ 300,000","2015-06-10",3e+05,702,4000
"45",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16042,22,NA,"A1","446 BEACH 69TH STREET                    ","            ",11692,1,0,1,4000,2416,1910,1,"A1","$ 135,000","2015-11-23",135000,2416,4000
"46",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16049,3,NA,"A2","69-49 BURCHELL AVENUE                    ","            ",11692,1,0,1,3000,1632,1960,1,"A2","$ 299,000","2015-09-08",299000,1632,3000
"48",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16052,27,NA,"A5","443 BEACH 69TH STREET                    ","            ",11692,1,0,1,3250,1530,2005,1,"A5","$ 380,000","2016-01-15",380000,1530,3250
"49",4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16052,28,NA,"A5","441 BEACH 69TH STREET                    ","            ",11692,1,0,1,1500,1530,2005,1,"A5","$ 285,000","2015-10-27",285000,1530,1500
"53",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15833,24,NA,"B3","348 BEACH 43RD STREET                    ","            ",11691,2,0,2,4000,1440,1910,1,"B3","$ 410,000","2016-01-06",410000,1440,4000
"54",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15833,24,NA,"B3","348 BEACH 43 STREET                      ","            ",11691,2,0,2,4000,1440,1910,1,"B3","$ 128,250","2015-05-15",128250,1440,4000
"55",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15833,69,NA,"B9","303 BEACH 42ND STREET                    ","            ",11691,2,0,2,3000,1764,1960,1,"B9","$ 390,000","2015-08-11",390000,1764,3000
"56",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15836,12,NA,"B3","316 BEACH 45TH STREET                    ","            ",11691,2,0,2,2269,2340,1920,1,"B3","$ 38,000","2015-10-19",38000,2340,2269
"57",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15848,45,NA,"B3","216 BEACH 40TH STREET                    ","            ",11691,2,0,2,2837,1308,1920,1,"B3","$ 332,000","2015-08-24",332000,1308,2837
"59",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15903,3,NA,"B1","172 BEACH 61ST  STREET                   ","            ",11692,2,0,2,3135,2052,2000,1,"B1","$ 440,000","2016-03-18",440000,2052,3135
"61",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15904,20,NA,"B9","195 BEACH 61 STREET                      ","            ",11692,2,0,2,2264,1729,1955,1,"B9","$ 90,000","2015-09-02",90000,1729,2264
"62",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15904,27,NA,"B9","185 BEACH 61 STREET                      ","            ",11692,2,0,2,2364,1729,1955,1,"B9","$ 410,000","2015-08-04",410000,1729,2364
"63",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,2,NA,"B2","62-08 BEACH FRONT ROAD                   ","            ",11692,2,0,2,6049,3547,2014,1,"B2","$ 1,221,900","2016-02-26",1221900,3547,6049
"64",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,3,NA,"B2","63-04 BEACH FRONT ROAD                   ","            ",11692,2,0,2,5719,3084,2014,1,"B2","$ 1,196,443","2015-12-04",1196443,3084,5719
"65",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,8,NA,"B2","63-16 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 967,337","2016-02-29",967337,3084,3542
"66",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,9,NA,"B2","63-18 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 941,881","2015-12-22",941881,3084,3542
"67",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,14,NA,"B2","64-08 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 941,881","2015-10-30",941881,3084,3542
"68",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,15,NA,"B2","64-10 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 941,881","2015-07-09",941881,3084,3542
"69",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,24,NA,"B2","63-17 OCEAN AVENUE SOUTH                 ","            ",11692,2,0,2,2088,3018,2014,1,"B2","$ 885,877","2016-01-27",885877,3018,2088
"71",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,28,NA,"B2","63-07 OCEAN AVENUE SOUTH                 ","            ",11692,2,0,2,2170,3018,2014,1,"B2","$ 890,968","2015-05-11",890968,3018,2170
"72",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,29,NA,"B2","63-05 OCEAN AVENUE SOUTH                 ","            ",11692,2,0,2,3957,2515,2014,1,"B2","$ 890,968","2015-06-23",890968,2515,3957
"73",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,39,NA,"B2","62-14 OCEAN AVENUE SOUTH                 ","            ",11692,2,0,2,4161,2958,2014,1,"B2","$ 773,870","2016-02-19",773870,2958,4161
"74",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,43,NA,"B2","129 BEACH 62 STREET                      ","            ",11692,2,0,2,3590,2626,2014,1,"B2","$ 768,778","2016-03-14",768778,2626,3590
"75",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,44,NA,"B2","127 BEACH 62 STREET                      ","            ",11692,2,0,2,2368,3306,2014,1,"B2","$ 743,322","2015-10-21",743322,3306,2368
"76",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,50,NA,"B2","63-02 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2542,2958,2014,1,"B2","$ 784,052","2016-03-21",784052,2958,2542
"77",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,51,NA,"B2","63-04 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,1853,3018,2014,1,"B2","$ 712,775","2015-06-08",712775,3018,1853
"78",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,52,NA,"B2","63-06 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,1853,3018,2014,1,"B2","$ 712,775","2015-06-23",712775,3018,1853
"79",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,54,NA,"B2","63-12 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2661,2515,2014,1,"B2","$ 743,322","2016-02-15",743322,2515,2661
"80",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,55,NA,"B2","63-14 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,1853,3018,2014,1,"B2","$ 712,775","2015-08-24",712775,3018,1853
"81",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,58,NA,"B2","158 SEA GRASS LANE                       ","            ",11692,2,0,2,3226,2515,2014,1,"B2","$ 712,775","2016-03-24",712775,2515,3226
"82",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,59,NA,"B2","162 SEA GRASS LANE                       ","            ",11692,2,0,2,3226,2515,2014,1,"B2","$ 672,045","2015-11-16",672045,2515,3226
"83",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,64,NA,"B2","172 SEA GRASS LANE                       ","            ",11692,2,0,2,2236,3018,2014,1,"B2","$ 672,045","2015-05-21",672045,3018,2236
"84",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,67,NA,"B2","180 SEA GRASS LANE                       ","            ",11692,2,0,2,2236,3018,2014,1,"B2","$ 712,775","2015-08-19",712775,3018,2236
"85",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,68,NA,"B2","182 SEA GRASS LANE                       ","            ",11692,2,0,2,4430,2958,2014,1,"B2","$ 687,318","2015-12-29",687318,2958,4430
"86",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,69,NA,"B2","188 SEA GRASS LANE                       ","            ",11692,2,0,2,4430,2958,2014,1,"B2","$ 661,862","2015-11-30",661862,2958,4430
"88",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,71,NA,"B2","192 SEA GRASS LANE                       ","            ",11692,2,0,2,2236,3018,2014,1,"B2","$ 712,775","2015-12-17",712775,3018,2236
"89",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,72,NA,"B2","194 SEA GRASS LANE                       ","            ",11692,2,0,2,2226,3018,2014,1,"B2","$ 677,136","2015-09-30",677136,3018,2226
"91",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,74,NA,"B2","199 BEACH 62 STREET                      ","            ",11692,2,0,2,4132,3306,2014,1,"B2","$ 661,862","2015-08-03",661862,3306,4132
"92",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,86,NA,"B2","169 BEACH 62 STREET                      ","            ",11692,2,0,2,3942,3306,2014,1,"B2","$ 682,227","2015-05-20",682227,3306,3942
"93",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,87,NA,"B2","163 BEACH 62 STREET                      ","            ",11692,2,0,2,3942,2626,2014,1,"B2","$ 651,680","2016-03-30",651680,2626,3942
"94",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,88,NA,"B2","161 BEACH 62 STREET                      ","            ",11692,2,0,2,4860,3306,2014,1,"B2","$ 712,775","2015-08-20",712775,3306,4860
"95",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,89,NA,"B2","155 COMPASS PLACE                        ","            ",11692,2,0,2,2672,2664,2014,1,"B2","$ 651,680","2015-07-07",651680,2664,2672
"96",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,90,NA,"B2","153 COMPASS PLACE                        ","            ",11692,2,0,2,2246,3018,2014,1,"B2","$ 692,410","2015-05-28",692410,3018,2246
"98",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,116,NA,"B2","189 SEA GRASS LANE                       ","            ",11692,2,0,2,2246,3018,2012,1,"B2","$ 738,231","2016-01-05",738231,3018,2246
"99",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,118,NA,"B2","185 SEA GRASS LANE                       ","            ",11692,2,0,2,2246,3018,2012,1,"B2","$ 672,045","2015-05-19",672045,3018,2246
"100",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,138,NA,"B2","65-08 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2987,2258,2012,1,"B2","$ 617,000","2015-05-08",617000,2258,2987
"101",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,144,NA,"B2","178 SALTAIRE LANE                        ","            ",11692,2,0,2,3257,2419,2011,1,"B2","$ 645,000","2015-08-13",645000,2419,3257
"102",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,146,NA,"B2","186 SALTAIRE LANE                        ","            ",11692,2,0,2,2246,3139,2011,1,"B2","$ 677,136","2015-09-25",677136,3139,2246
"103",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,148,NA,"B2","189 WHITE SANDS WAY                      ","            ",11692,2,0,2,3870,3174,2011,1,"B2","$ 702,592","2015-09-29",702592,3174,3870
"104",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,173,NA,"B2","64-17 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,3046,2515,2014,1,"B2","$ 672,045","2015-12-16",672045,2515,3046
"105",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,176,NA,"B2","64-11 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,3045,2515,2014,1,"B2","$ 698,519","2015-06-30",698519,2515,3045
"106",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,177,NA,"B2","64-07 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,3045,2515,2014,1,"B2","$ 672,045","2015-07-09",672045,2515,3045
"107",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,182,NA,"B2","63-15 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2120,3018,2014,1,"B2","$ 773,870","2015-08-27",773870,3018,2120
"108",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,186,NA,"B2","63-05 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2120,3018,2014,1,"B2","$ 784,052","2015-08-18",784052,3018,2120
"109",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,187,NA,"B2","63-03 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2120,3018,2014,1,"B2","$ 784,052","2015-07-31",784052,3018,2120
"110",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,221,NA,"B2","66-13 OCEAN AVENUE NORTH                 ","            ",11692,2,0,2,2375,3138,2013,1,"B2","$ 663,000","2016-02-17",663000,3138,2375
"111",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,230,NA,"B2","149 OCEAN LANE                           ","            ",11692,2,0,2,4502,2908,2011,1,"B2","$ 749,000","2015-07-31",749000,2908,4502
"112",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,238,NA,"B2","66-11 SURF AVENUE                        ","            ",11692,2,0,2,3265,2258,2011,1,"B2","$ 789,143","2015-11-06",789143,2258,3265
"113",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,260,NA,"B2","66-16 SEASPRAY AVENUE                    ","            ",11692,2,0,2,2143,2908,2011,1,"B2","$ 766,000","2015-10-26",766000,2908,2143
"114",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,279,NA,"B2","65-15 SEASPRAY AVENUE                    ","            ",11692,2,0,2,3226,2515,2011,1,"B2","$ 714,302","2015-07-30",714302,2515,3226
"115",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,291,NA,"B2","114 BEACH WAY                            ","            ",11692,2,0,2,3377,2258,2011,1,"B2","$ 763,687","2015-09-08",763687,2258,3377
"116",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,296,NA,"B2","6504 BEACH FRONT ROAD                    ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 941,881","2015-11-06",941881,3084,3542
"117",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,298,NA,"B2","65-10 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 915,406","2015-05-29",915406,3084,3542
"118",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,300,NA,"B2","65-16 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3080,2014,1,"B2","$ 941,881","2015-11-23",941881,3080,3542
"119",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,301,NA,"B2","6520 BEACH FRONT ROAD                    ","            ",11692,2,0,2,3517,3084,2014,1,"B2","$ 1,013,158","2016-03-29",1013158,3084,3517
"120",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,302,NA,"B2","65-22 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3589,3080,2014,1,"B2","$ 992,793","2016-03-29",992793,3080,3589
"121",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,303,NA,"B2","66-02 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3588,3084,2014,1,"B2","$ 1,013,158","2016-04-22",1013158,3084,3588
"122",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,306,NA,"B2","66-10 BEACH FRONT ROAD                   ","            ",11692,2,0,2,3542,3084,2014,1,"B2","$ 997,885","2015-06-04",997885,3084,3542
"123",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15905,308,NA,"B2","66-16 BEACH FRONT ROAD                   ","            ",11692,2,0,2,4248,3084,2014,1,"B2","$ 941,881","2015-05-21",941881,3084,4248
"125",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15933,53,NA,"B9","147 BEACH 61 STREET                      ","            ",11692,2,0,2,2304,1842,1970,1,"B9","$ 175,000","2015-12-04",175000,1842,2304
"126",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15952,9,NA,"B3","418 BEACH 36 STREET                      ","            ",11691,2,0,2,4600,1832,1940,1,"B3","$ 180,500","2016-01-27",180500,1832,4600
"127",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15954,12,NA,"B2","422 BEACH 38TH STREET                    ","            ",11691,2,0,2,3000,1728,1920,1,"B2","$ 190,000","2015-12-10",190000,1728,3000
"128",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15960,51,NA,"B1","502 BEACH 43 STREET                      ","            ",11691,2,0,2,2850,2200,2002,1,"B1","$ 155,000","2016-01-20",155000,2200,2850
"130",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15965,107,NA,"B9","425 BEACH 43 STREET                      ","            ",11691,2,0,2,3133,476,1910,1,"B9","$ 145,000","2015-08-15",145000,476,3133
"134",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16008,7,NA,"B2","6226 ELIZABETH ROAD                      ","            ",11692,2,0,2,3179,2000,2003,1,"B2","$ 278,250","2015-06-10",278250,2000,3179
"135",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16023,52,NA,"B2","603 BEACH 63 STREET                      ","            ",11692,2,0,2,3400,2068,1996,1,"B2","$ 390,000","2016-01-19",390000,2068,3400
"136",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16024,39,NA,"B2","623 BEACH 64TH STREET                    ","            ",11692,2,0,2,3400,2068,1994,1,"B2","$ 215,000","2015-11-20",215000,2068,3400
"137",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16024,47,NA,"B2","609 BEACH 64 STREET                      ","            ",11692,2,0,2,3400,2068,1994,1,"B2","$ 300,000","2015-11-19",3e+05,2068,3400
"138",4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",16027,26,NA,"B9","641 BEACH 66TH                           ","            ",11692,2,0,2,3100,1590,1960,1,"B9","$ 125,000","2015-10-22",125000,1590,3100
